CustomerID,Gender,Age,Education ,Marital Status,Annual Income (k$),Spending Score (1-100)
1,M,19,High School,Married,15,39
2,M,21,Graduate,Single,15,81
3,F,20,Graduate,Married,16,6
4,F,23,High School,Unknown,16,77
5,F,31,Uneducated,Married,17,40
6,F,22,Graduate,Married,17,76
7,F,35,Unknown,Married,18,6
8,F,23,High School,Unknown,18,94
9,M,64,Uneducated,Single,19,3
10,F,30,Graduate,Single,19,72
11,M,67,Uneducated,Unknown,19,14
12,F,35,Unknown,Married,19,99
13,F,58,College,Single,20,15
14,F,24,Graduate,Unknown,20,77
15,M,37,Graduate,Married,20,13
16,M,22,Unknown,Unknown,20,79
17,F,35,Post-Graduate,Single,21,35
18,M,20,Unknown,Married,21,66
19,M,52,High School,Married,23,29
20,F,35,Graduate,Married,23,98
21,M,35,Doctorate,Divorced,24,35
22,M,25,Graduate,Married,24,73
23,F,46,High School,Married,25,5
24,M,31,Unknown,Single,25,73
25,F,54,Unknown,Married,28,14
26,M,29,Graduate,Single,28,82
27,F,45,High School,Unknown,28,32
28,M,35,Unknown,Married,28,61
29,F,40,Uneducated,Single,29,31
30,F,23,High School,Married,29,87
31,M,60,Unknown,Married,30,4
32,F,21,Uneducated,Married,30,73
33,M,53,Graduate,Married,33,4
34,M,18,College,Married,33,92
35,F,49,Graduate,Married,33,14
36,F,21,College,Single,33,81
37,F,42,Graduate,Married,34,17
38,F,30,High School,Married,34,73
39,F,36,Graduate,Unknown,37,26
40,F,20,Doctorate,Married,37,75
41,F,65,Graduate,Single,38,35
42,M,24,Unknown,Married,38,92
43,M,48,College,Single,39,36
44,F,31,High School,Married,39,61
45,F,49,Graduate,Single,39,28
46,F,24,Uneducated,Single,39,65
47,F,50,Doctorate,Married,40,55
48,F,27,Doctorate,Married,40,47
49,F,29,High School,Married,40,42
50,F,31,College,Single,40,42
51,F,49,Unknown,Married,42,52
52,M,33,Graduate,Married,42,60
53,F,31,High School,Married,43,54
